Date	logreturn
11-Oct-99	-5.5097
18-Oct-99	3.0530
25-Oct-99	5.1857
1-Nov-99	4.4781
8-Nov-99	3.7598
15-Nov-99	4.4952
22-Nov-99	2.3049
29-Nov-99	2.0901
6-Dec-99	2.7900
13-Dec-99	3.6031
20-Dec-99	5.6054
27-Dec-99	2.4848
3-Jan-00	-4.6963
10-Jan-00	4.5724
18-Jan-00	4.1244
24-Jan-00	-8.5822
31-Jan-00	8.7884
7-Feb-00	3.5031
14-Feb-00	0.3699
22-Feb-00	3.9720
28-Feb-00	6.8260
6-Mar-00	2.6866
13-Mar-00	-5.0889
20-Mar-00	3.3790
27-Mar-00	-8.1884
3-Apr-00	-2.8026
10-Apr-00	-29.1753
17-Apr-00	9.2696
24-Apr-00	5.7789
1-May-00	-1.1421
8-May-00	-7.8386
15-May-00	-4.0084
22-May-00	-5.6201
30-May-00	17.3770
5-Jun-00	1.5988
12-Jun-00	-0.3692
19-Jun-00	-0.3950
26-Jun-00	3.0924
3-Jul-00	1.4292
10-Jul-00	5.3942
17-Jul-00	-3.6387
24-Jul-00	-11.1350
31-Jul-00	3.3387
7-Aug-00	0.0557
14-Aug-00	3.6500
21-Aug-00	2.8182
28-Aug-00	4.6317
5-Sep-00	-6.2343
11-Sep-00	-3.6653
18-Sep-00	-0.8239
25-Sep-00	-3.5030
2-Oct-00	-8.8718
9-Oct-00	-1.3250
16-Oct-00	4.8943
23-Oct-00	-6.0591
30-Oct-00	5.1489
6-Nov-00	-13.0603
13-Nov-00	-0.0594
20-Nov-00	-4.1415
27-Nov-00	-9.3439
4-Dec-00	9.7922
11-Dec-00	-9.4910
18-Dec-00	-5.2717
26-Dec-00	-1.8647
2-Jan-01	-2.5777
8-Jan-01	8.7001
16-Jan-01	5.3332
22-Jan-01	0.3934
29-Jan-01	-4.4404
5-Feb-01	-7.3903
12-Feb-01	-1.8623
20-Feb-01	-6.9513
26-Feb-01	-6.6177
5-Mar-01	-3.1103
12-Mar-01	-8.2137
19-Mar-01	1.9778
26-Mar-01	-4.6929
2-Apr-01	-6.7373
9-Apr-01	13.1140
16-Apr-01	9.8012
23-Apr-01	-4.1397
30-Apr-01	5.4311
7-May-01	-3.9131
14-May-01	4.2479
21-May-01	2.3440
29-May-01	-4.6181
4-Jun-01	3.0090
11-Jun-01	-8.8035
18-Jun-01	0.3155
25-Jun-01	5.9941
2-Jul-01	-7.5133
9-Jul-01	3.9443
16-Jul-01	-2.6943
23-Jul-01	-0.0148
30-Jul-01	1.8197
6-Aug-01	-5.4632
13-Aug-01	-4.6804
20-Aug-01	2.6319
27-Aug-01	-5.9858
4-Sep-01	-6.7432
10-Sep-01	-17.0466
24-Sep-01	5.1764
1-Oct-01	6.8646
8-Oct-01	5.9316
15-Oct-01	-1.9019
22-Oct-01	5.6784
29-Oct-01	-1.3219
5-Nov-01	4.6312
12-Nov-01	3.7621
19-Nov-01	0.2430
26-Nov-01	1.4284
3-Dec-01	4.5901
10-Dec-01	-3.4267
17-Dec-01	-0.3765
24-Dec-01	2.1068
31-Dec-01	3.5648
7-Jan-02	-1.8090
14-Jan-02	-4.6618
22-Jan-02	0.3806
28-Jan-02	-1.3749
4-Feb-02	-4.9531
11-Feb-02	-0.7550
19-Feb-02	-4.5711
25-Feb-02	4.4347
4-Mar-02	6.8041
11-Mar-02	-3.2320
18-Mar-02	-0.9092
25-Mar-02	-0.3268
1-Apr-02	-4.1672
8-Apr-02	-0.7850
15-Apr-02	2.2877
22-Apr-02	-7.6866
29-Apr-02	-3.1044
6-May-02	-0.7580
13-May-02	8.4149
20-May-02	-4.6969
28-May-02	-2.7928
3-Jun-02	-5.0944
10-Jun-02	-2.0223
17-Jun-02	-4.3311
24-Jun-02	1.5323
1-Jul-02	-1.0201
8-Jul-02	-5.3070
15-Jul-02	-4.0375
22-Jul-02	-4.4195
29-Jul-02	-1.1315
5-Aug-02	4.5583
12-Aug-02	4.1166
19-Aug-02	1.4306
26-Aug-02	-4.8810
3-Sep-02	-1.4980
9-Sep-02	-0.3015
16-Sep-02	-5.5983
23-Sep-02	-1.8123
30-Sep-02	-5.0681
7-Oct-02	6.0068
14-Oct-02	6.1973
21-Oct-02	3.3046
28-Oct-02	2.1971
4-Nov-02	-0.1044
11-Nov-02	3.7443
18-Nov-02	4.0007
25-Nov-02	0.6813
2-Dec-02	-3.8844
9-Dec-02	-4.3111
16-Dec-02	0.0462
23-Dec-02	-1.0873
30-Dec-02	2.8349
6-Jan-03	3.6372
13-Jan-03	-4.4254
21-Jan-03	-2.5053
27-Jan-03	-1.5944
3-Feb-03	-2.9533
10-Feb-03	2.1369
18-Feb-03	2.9222
24-Feb-03	-0.8561
3-Mar-03	-2.4392
10-Mar-03	2.6491
17-Mar-03	5.9036
24-Mar-03	-3.7433
31-Mar-03	1.0105
7-Apr-03	-1.7985
14-Apr-03	4.7884
21-Apr-03	0.6322
28-Apr-03	4.6539
5-May-03	1.1426
12-May-03	1.2018
19-May-03	-1.8658
27-May-03	5.5275
2-Jun-03	1.9552
9-Jun-03	-0.0572
16-Jun-03	1.1146
23-Jun-03	-1.1902
30-Jun-03	2.3232
7-Jul-03	4.1491
14-Jul-03	-1.4775
21-Jul-03	1.2910
28-Jul-03	-0.8751
4-Aug-03	-4.2624
11-Aug-03	3.4659
18-Aug-03	3.6522
25-Aug-03	2.5243
2-Sep-03	2.6054
8-Sep-03	-0.1729
15-Sep-03	-0.5042
